epoch,train_loss,val_acc,val_ndcg@5,val_ndcg@10,val_ndcg@20,val_spearman,monitor,lr,lambda_ce,max_pairs_per_group,dropout
1,0.5892016545502337,0.3418,0.9890662435406382,0.9757034125102741,0.9785759534346108,0.8840966404318067,0.9299000264710404,0.0003,0.33,128,0.3
2,0.3680237867894309,0.34215,0.9890662435406382,0.9762958873973551,0.9822124147911837,0.8934840286451325,0.9348899580212437,0.0003,0.33,128,0.3
3,0.3031852471338322,0.32905,0.9890662435406382,0.9818170726852209,0.9824869490730508,0.8963318825107219,0.9390744775979714,0.0003,0.33,128,0.3
4,0.2580037420172979,0.30125,0.9890662435406382,0.9818170726852209,0.9791103873499657,0.898498375855918,0.9401577242705694,0.0003,0.33,128,0.3
5,0.2259363621959487,0.273875,0.9878276375131079,0.9693784566617476,0.9740465135592304,0.8982779810301289,0.9338282188459383,0.0003,0.33,128,0.3
6,0.20366718355481883,0.26055,0.9878276375131079,0.9804661241730583,0.9751041912895425,0.8999407906982458,0.9402034574356521,0.0003,0.33,128,0.3
7,0.18447832738934655,0.262225,0.9890662435406382,0.9810051448601869,0.9754384619195644,0.9000587012090211,0.940531923034604,0.0003,0.33,128,0.3
8,0.1715928592007899,0.26785,0.9890662435406382,0.975483959572321,0.9748415222231461,0.9007824057734581,0.9381331826728896,0.0003,0.33,128,0.3
9,0.16326497997439285,0.2674,1.0,0.9815672155820989,0.9758503925361663,0.9006192279895322,0.9410932217858156,0.0003,0.33,128,0.3
10,0.1542964340110436,0.27575,0.9890662435406382,0.9757034125102741,0.974611165055528,0.9008362908867356,0.9382698516985049,0.0003,0.33,128,0.3
11,0.14677955089672412,0.27675,0.9890662435406382,0.9757034125102741,0.974611165055528,0.9015269151028364,0.9386151638065553,0.0003,0.33,128,0.3
12,0.14505211082054958,0.27905,0.9890662435406382,0.9757034125102741,0.9713379836723941,0.9017616268884646,0.9387325196993694,0.0003,0.33,128,0.3
13,0.13642699909119577,0.2719,0.9878276375131079,0.9746801890116603,0.9706818046400579,0.9016632211697873,0.9381717050907238,0.0003,0.33,128,0.3
14,0.1324167544700049,0.27395,1.0,0.9707442979443206,0.9715391783604683,0.9026942333435591,0.9367192656439398,0.0003,0.33,128,0.3
15,0.1280162061657046,0.28295,0.9878276375131079,0.9746801890116603,0.9674580286225702,0.9022891893548722,0.9384846891832663,0.0003,0.33,128,0.3
16,0.12551486169165949,0.29185,0.9890662435406382,0.9701822272224084,0.9742137636364113,0.9023083238204181,0.9362452755214132,0.0003,0.33,128,0.3
17,0.12158236896098792,0.28945,1.0,0.9707442979443206,0.9715885837261147,0.9027380991803045,0.9367411985623125,0.0003,0.33,128,0.3
18,0.11834077471127297,0.2911,0.9878276375131079,0.9746801890116603,0.9704121490299468,0.9030291584740908,0.9388546737428756,0.0003,0.33,128,0.3
19,0.11765599793618536,0.29315,1.0,0.9760460302942332,0.9718394325726953,0.9028972356969772,0.9394716329956052,0.0003,0.33,128,0.3
20,0.11286963496344855,0.30775,1.0,0.9707442979443206,0.9714251938938894,0.9033595336628147,0.9370519158035677,0.0003,0.33,128,0.3
21,0.11224629609445683,0.29945,1.0,0.9707442979443206,0.9715391783604683,0.9030150389234037,0.9368796684338622,0.0003,0.33,128,0.3
22,0.11075597569401942,0.30085,0.9878276375131079,0.9746801890116603,0.9705806929601913,0.9032086945417998,0.9389444417767301,0.0003,0.33,128,0.3
23,0.10858013724762487,0.307325,0.9890662435406382,0.9701822272224084,0.9709277094665648,0.9033602824392066,0.9367712548308076,0.0003,0.33,128,0.3
24,0.10655103055049263,0.30705,0.9890662435406382,0.9701822272224084,0.9711308524223435,0.9034245269335264,0.9368033770779673,0.0003,0.33,128,0.3
25,0.10440061051140502,0.3078,0.9878276375131079,0.9693784566617476,0.970277283871344,0.9031643201605728,0.9362713884111602,0.0003,0.33,128,0.3
26,0.10436295386628375,0.3066,0.9890662435406382,0.9701822272224084,0.9710297407424769,0.9038739423836681,0.9370280848030383,0.0003,0.33,128,0.3
27,0.10288413299233815,0.307025,0.9878276375131079,0.9693784566617476,0.9703298441136108,0.9035743556879441,0.9364764061748458,0.0003,0.33,128,0.3
28,0.10213094619689218,0.3044,0.9890662435406382,0.975483959572321,0.9713151229465926,0.9042378766864704,0.9398609181293958,0.0003,0.33,128,0.3
29,0.10127888785943585,0.30045,0.9890662435406382,0.975483959572321,0.974348628795014,0.9036922620623462,0.9395881108173336,0.0003,0.33,128,0.3
30,0.0992121490182362,0.303225,0.9878276375131079,0.968958927755138,0.9699012330633807,0.9039594279347605,0.9364591778449493,0.0003,0.33,128,0.3
31,0.09787688796351263,0.30255,0.9878276375131079,0.968958927755138,0.9670183894779127,0.9035772381711219,0.93626808296313,0.0003,0.33,128,0.3
32,0.09836134062897003,0.30905,1.0,0.9760460302942332,0.9717234488847174,0.90365677761314,0.9398514039536866,0.0003,0.33,128,0.3
33,0.09607767819843095,0.29875,0.9890662435406382,0.9697626983157988,0.9703887328239795,0.9035001515993191,0.9366314249575589,0.0003,0.33,128,0.3
34,0.09327493383522872,0.303225,0.9890662435406382,0.9697626983157988,0.970489844503846,0.9028745318879178,0.9363186151018583,0.0003,0.33,128,0.3
35,0.0940853432490427,0.30305,0.9890662435406382,0.9697626983157988,0.9703887328239795,0.9028176825866016,0.9362901904512002,0.0003,0.33,128,0.3
36,0.09316788217226381,0.303875,1.0,0.9707442979443206,0.9714251938938894,0.90288842741061,0.9368163626774653,0.0003,0.33,128,0.3
37,0.09078213343720513,0.293325,0.9890662435406382,0.9697626983157988,0.9673852070509567,0.9026288292872588,0.9361957638015288,0.0003,0.33,128,0.3
38,0.09302242060214404,0.29515,1.0,0.9760460302942332,0.9715074988102254,0.903219350548495,0.9396326904213641,0.0003,0.33,128,0.3
39,0.09141818397690012,0.299375,1.0,0.9760460302942332,0.9715074988102254,0.9026993311829543,0.9393726807385938,0.0003,0.33,128,0.3
40,0.0922359756546021,0.295675,0.9890662435406382,0.9697626983157988,0.9703887328239795,0.9028573924844341,0.9363100454001164,0.0003,0.33,128,0.3
41,0.09236001873163192,0.298175,1.0,0.9707442979443206,0.9713600303035959,0.9028731957200326,0.9368087468321766,0.0003,0.33,128,0.3
42,0.09153237381025038,0.3031,0.9890662435406382,0.9697626983157988,0.9702501689691335,0.902911424719681,0.9363370615177399,0.0003,0.33,128,0.3
43,0.08967438573094008,0.292275,1.0,0.9707442979443206,0.9713726336516226,0.9027656173774106,0.9367549576608656,0.0003,0.33,128,0.3
44,0.08863281564754429,0.29495,0.9890662435406382,0.9697626983157988,0.9704424383595985,0.9029794525660069,0.9363710754409028,0.0003,0.33,128,0.3
45,0.08967524749421647,0.303325,1.0,0.9760460302942332,0.9713825164526977,0.9023569168043903,0.9392014735493117,0.0003,0.33,128,0.3
46,0.08657029377098792,0.295575,1.0,0.9760460302942332,0.9715074988102254,0.9027261742990833,0.9393861022966583,0.0003,0.33,128,0.3
47,0.08577211401578817,0.3023,0.9890662435406382,0.9697626983157988,0.9705309466914382,0.9026365817556723,0.9361996400357355,0.0003,0.33,128,0.3
48,0.08678710672790127,0.3055,0.9890662435406382,0.9701822272224084,0.9708357206774931,0.9020387668187133,0.9361104970205609,0.0003,0.33,128,0.3
49,0.08713394251014446,0.292975,0.9890662435406382,0.9697626983157988,0.9703406765223721,0.9026136674049862,0.9361881828603924,0.0003,0.33,128,0.3
50,0.08663880731268404,0.30505,1.0,0.9760460302942332,0.9715074988102254,0.9033618879816571,0.9397039591379451,0.0003,0.33,128,0.3
51,0.08651845835655646,0.3042,1.0,0.9760460302942332,0.9713717588862633,0.9029948003765547,0.939520415335394,0.0003,0.33,128,0.3
52,0.08588339641819412,0.297725,0.9890662435406382,0.9697626983157988,0.97037116153769,0.9030175876843964,0.9363901430000976,0.0003,0.33,128,0.3
53,0.0852696531750815,0.29675,1.0,0.9707442979443206,0.9712440466156179,0.9024989801934529,0.9366216390688867,0.0003,0.33,128,0.3
54,0.08331372411689925,0.296275,1.0,0.9762654832321863,0.9716543208214472,0.9025044077530331,0.9393849454926098,0.0003,0.33,128,0.3
55,0.08429000857819671,0.296075,0.9890662435406382,0.9697626983157988,0.9705435500394651,0.9020948909898534,0.9359287946528261,0.0003,0.33,128,0.3
56,0.08381176705796561,0.301825,0.9890662435406382,0.9694349733022503,0.9701160231100843,0.9023031539971657,0.935869063649708,0.0003,0.33,128,0.3
57,0.08330500085264377,0.293025,1.0,0.9762654832321863,0.9715311842455119,0.9027372715482845,0.9395013773902354,0.0003,0.33,128,0.3
58,0.08528870078180034,0.299775,0.9890662435406382,0.9697626983157988,0.9703066984356364,0.9016402420018439,0.9357014701588213,0.0003,0.33,128,0.3
59,0.08415725159778573,0.29635,0.9890662435406382,0.9694349733022503,0.9702043568897989,0.901363160798967,0.9353990670506086,0.0003,0.33,128,0.3
60,0.08231963121860597,0.30115,0.9890662435406382,0.9694349733022503,0.9700686169658368,0.9020095863223005,0.9357222798122754,0.0003,0.33,128,0.3
61,0.08262860552656061,0.303475,0.9890662435406382,0.9694349733022503,0.9700686169658368,0.901517564629088,0.9354762689656692,0.0003,0.33,128,0.3
62,0.08194340062746937,0.307525,0.9890662435406382,0.9697626983157988,0.9704722732175566,0.9012173785606334,0.9354900384382161,0.0003,0.33,128,0.3
63,0.0829085945078652,0.299525,0.9890662435406382,0.9694349733022503,0.9700686169658368,0.9011333288786385,0.9352841510904444,0.0003,0.33,128,0.3
